"","thalli","avg.oo.disc","treatment","avg.oo.in","unit_temp_hach","run","unit_do_hach","unit_sal_hach","unit_ph_c"
"1","A1",380.333333333333,"1",24,16.2666666666667,"1",8.96,27.1,7.858974359
"2","A2",22.75,"2",48.6666666666667,16.5333333333333,"1",9.40333333333333,27.1666666666667,6.414529915
"3","A3",176.75,"3",40,16.5333333333333,"1",9.10333333333333,30.6666666666667,8.051282051
"4","A4",30.5,"4",42,16.5666666666667,"1",9.37333333333333,30.6666666666667,7.346153846
"5","B1",253,"1",46.3333333333333,16.1666666666667,"1",9.41333333333333,26.9,7.88034188
"6","B2",816,"2",40.3333333333333,16.2,"1",9.51,27.0333333333333,6.358974359
"7","B3",283.333333333333,"3",31.6666666666667,16.2666666666667,"1",9.41,30.5666666666667,8.038461538
"8","B4",395,"4",58.3333333333333,16.5333333333333,"1",9.16,30.5666666666667,7.256410256
"9","C1",129.333333333333,"1",32.3333333333333,16.1333333333333,"1",9.80666666666667,26.6333333333333,8.08974359
"10","C2",298.5,"2",19.3333333333333,16.0666666666667,"1",9.68,26.9,6.414529915
"11","C3",70.25,"3",46.6666666666667,16.2666666666667,"1",10.1533333333333,30.4666666666667,8.111111111
"12","C4",99.75,"4",43,16.5666666666667,"1",9.59333333333333,30.5666666666667,7.448717949
"13","D1",70.5,"1",42.3333333333333,16.5333333333333,"1",9.19,26.9666666666667,7.858974359
"14","D2",112.5,"2",55.6666666666667,16.4,"1",9.24666666666667,26.9333333333333,6.068376068
"15","D3",20.3333333333333,"3",46.3333333333333,16.7,"1",9.15333333333333,30.5333333333333,7.987179487
"16","D4",11,"4",22,16.5,"1",9.55,30.4333333333333,7.807692308
"17","E1",601.333333333333,"1",40.6666666666667,16.5,"1",9.34333333333333,27.0666666666667,7.871794872
"18","E2",279.75,"2",51,16.4666666666667,"1",9.36333333333333,27.0666666666667,6.141025641
"19","E3",223.25,"3",23,16.8,"1",9.30333333333333,30.5666666666667,8.111111111
"20","E4",3,"4",11.6666666666667,17.2333333333333,"1",10.0233333333333,30.5666666666667,7.786324786
"21","A1",503.666666666667,"1",18.3333333333333,14.6,"2",10.78,27,8.044871795
"22","A2",42.6666666666667,"2",43,14.65,"2",10.93,27,7.673076923
"23","A3",190.333333333333,"3",33.6666666666667,14.65,"2",10.94,30.65,8.108974359
"24","A4",379.666666666667,"4",46.6666666666667,14.7,"2",10.84,30.95,7.743589744
"25","B1",297,"1",33,14.6,"2",10.83,26.35,7.948717949
"26","B2",32.25,"2",32.3333333333333,14.65,"2",10.52,26.35,7.314102564
"27","B3",242.666666666667,"3",50.3333333333333,14.6,"2",10.75,30.85,8.051282051
"28","B4",83.75,"4",37.6666666666667,14.7,"2",10.68,30.85,8.064102564
"29","C1",2,"1",20.6666666666667,14.7,"2",10.72,26.35,7.705128205
"30","C2",584.333333333333,"2",25.3333333333333,14.65,"2",10.74,26.4,7.756410256
"31","C3",103.333333333333,"3",38,14.7,"2",10.95,30.85,8.032051282
"32","C4",144,"4",39.3333333333333,14.75,"2",11.05,30.85,8.115384615
"33","D1",1196,"1",32.3333333333333,14.5,"2",10.86,26.4,8.025641026
"34","D2",829,"2",38.3333333333333,14.55,"2",10.85,26.35,7.455128205
"35","D3",35,"3",48.6666666666667,14.65,"2",10.8,30.6,8.108974359
"36","D4",79.6666666666667,"4",28,14.7,"2",10.82,30.6,8.044871795
"37","E1",21.6666666666667,"1",28.3333333333333,14.75,"2",10.77,26.45,8.025641026
"38","E2",1092.66666666667,"2",37.3333333333333,14.6,"2",11,26.45,7.5
"39","E3",558.333333333333,"3",54.3333333333333,14.75,"2",10.68,30.8,8.096153846
"40","E4",86.3333333333333,"4",41.6666666666667,14.75,"2",10.67,30.8,8.025641026
"41","A1",784.666666666667,"1",36,15.55,"3",10.56,26.25,7.916666667
"42","A2",151.333333333333,"2",22.6666666666667,15.6,"3",10.755,26.25,7.544871795
"43","A3",58,"3",49.3333333333333,15.25,"3",10.765,30.9,7.916666667
"44","A4",796.333333333333,"4",30,15.4,"3",10.835,30.9,7.833333333
"45","B1",325.666666666667,"1",23.6666666666667,15.55,"3",10.34,26.15,7.948717949
"46","B2",386.333333333333,"2",52.3333333333333,15.5,"3",10.865,26.35,7.397435897
"47","B3",8.33333333333333,"3",30.6666666666667,15.25,"3",10.835,30.75,8.012820513
"48","B4",126.666666666667,"4",18,15.2,"3",10.785,30.75,7.955128205
"49","C1",183.333333333333,"1",36,15.3,"3",10.595,26.35,7.961538462
"50","C2",1690,"2",34,15.2,"3",10.565,26.15,7.487179487
"51","C3",100.666666666667,"3",29.3333333333333,15.45,"3",10.48,30.75,7.993589744
"52","C4",315,"4",22.6666666666667,15.3,"3",10.84,30.8,7.948717949
"53","D1",2.66666666666667,"1",50.3333333333333,15.75,"3",10.55,26.5,7.961538462
"54","D2",531.333333333333,"2",22,15.65,"3",10.645,26.35,7.365384615
"55","D3",173.666666666667,"3",38,15.25,"3",10.87,30.8,8
"56","D4",111,"4",24.3333333333333,15.35,"3",10.465,30.85,7.903846154
"57","E1",39.6666666666667,"1",28,15.75,"3",10.63,26.25,7.935897436
"58","E2",188.666666666667,"2",30,15.7,"3",10.795,26.25,7.461538462
"59","E3",2.66666666666667,"3",20.3333333333333,15.4,"3",10.655,30.8,7.955128205
"60","E4",37,"4",48.3333333333333,15.5,"3",10.675,30.8,7.903846154
