name,type,latitude,longitude
Paradise Cay,Primary field site,37.916273,-122.478012
Point Chauncey,Primary field site,37.894256,-122.450092
Brickyard Park,Primary field site,37.882489,-122.503859
Horseshoe Bay,Primary field site,37.833875,-122.475608
China Camp,Environmental data,38.00125,-122.460361
Richardson Bay,Environmental data,37.893935,-122.497141
Fort Point,Environmental data,37.80663,-122.4662
Tiburon,Environmental data,37.891467,-122.447053
Golden Gate Bridge,Environmental data,37.806,-122.466
Dunphy Park,Secondary field site,37.861341,-122.48603
Bar Boccee,Secondary field site,37.859858,-122.484622
Pelican Harbor,Secondary field site,37.859979,-122.483817
Spinnaker Dr.,Secondary field site,37.858598,-122.478413
Baker Beach,Secondary field site,37.793582,-122.483812
